host,port,latency_ms,loss_pct,jitter_ms,ping_avg_ms,ping_min_ms,ping_max_ms,ping_loss_pct,ping_ok,tcp_avg_ms,tcp_min_ms,tcp_max_ms,tcp_jitter_ms,tcp_loss_pct,tcp_ok,score,org,city,country,checked_at
129.150.41.40,443,179,50,0,,,,100,false,179,179,179,0,50,true,24.2,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.310Z
138.2.101.183,443,179,50,0,,,,100,false,179,179,179,0,50,true,24.2,Oracle Corporation,Singapore,SG,2026-07-18T11:55:38.278Z
129.150.46.130,9527,182,50,0,,,,100,false,182,182,182,0,50,true,23.6,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.314Z
129.150.48.17,443,182,50,0,,,,100,false,182,182,182,0,50,true,23.6,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.314Z
134.185.84.145,443,182,50,0,,,,100,false,182,182,182,0,50,true,23.6,ORACLE-BMC-31898,Belmont,US,2026-07-18T11:54:55.849Z
134.185.84.201,8443,182,50,0,,,,100,false,182,182,182,0,50,true,23.6,Oracle Corporation,Belmont,US,2026-07-18T11:54:55.850Z
138.2.102.105,443,182,50,0,,,,100,false,182,182,182,0,50,true,23.6,Oracle Corporation,Singapore,SG,2026-07-18T11:55:38.281Z
129.150.55.155,443,183,50,0,,,,100,false,183,183,183,0,50,true,23.4,Oracle Corporation,Singapore,SG,2026-07-18T11:49:52.745Z
138.2.103.213,443,183,50,0,,,,100,false,183,183,183,0,50,true,23.4,Oracle Corporation,Singapore,SG,2026-07-18T11:55:38.282Z
129.150.36.185,65,184,50,0,,,,100,false,184,184,184,0,50,true,23.2,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.315Z
129.150.50.84,443,184,50,0,,,,100,false,184,184,184,0,50,true,23.2,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.316Z
129.150.41.94,443,185,50,0,,,,100,false,185,185,185,0,50,true,23,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.316Z
134.185.88.229,443,185,50,0,,,,100,false,185,185,185,0,50,true,23,Oracle Corporation,Belmont,US,2026-07-18T11:54:55.852Z
129.150.63.187,8443,189,50,0,,,,100,false,189,189,189,0,50,true,22.2,Oracle Corporation,Singapore,SG,2026-07-18T11:49:52.751Z
132.145.127.203,2053,1154,50,0,,,,100,false,1154,1154,1154,0,50,true,1,Oracle Corporation,Tokyo,JP,2026-07-18T11:52:49.525Z
