host,ip,port,protocol,title,domain,country,city,link,org
https://150.136.181.230:8443,150.136.181.230,8443,https,403 Forbidden,,US,Ashburn,https://150.136.181.230:8443,Oracle Corporation
152.70.153.168:8443,152.70.153.168,8443,http,,,US,Phoenix,http://152.70.153.168:8443,Oracle Corporation
129.80.224.7:8443,129.80.224.7,8443,http,403 Forbidden,,US,Ashburn,http://129.80.224.7:8443,Oracle Corporation
https://132.226.124.16:8443,132.226.124.16,8443,https,403 Forbidden,,US,Phoenix,https://132.226.124.16:8443,Oracle Corporation
https://129.146.34.42:8443,129.146.34.42,8443,https,403 Forbidden,,US,Phoenix,https://129.146.34.42:8443,Oracle Corporation
138.2.224.183,138.2.224.183,80,http,Just a moment...,,US,San Jose,http://138.2.224.183,Oracle Corporation
https://arki-store.com,69.6.233.127,443,https,403 Forbidden,arki-store.com,US,Jacksonville,https://arki-store.com,Oracle Corporation
renovenj.com,50.6.252.151,80,http,Just a moment...,renovenj.com,US,San Francisco,http://renovenj.com,Oracle Corporation
https://170.9.21.102:40000,170.9.21.102,40000,https,403 Forbidden,,US,Belmont,https://170.9.21.102:40000,Oracle Corporation
https://192.9.248.60:30005,192.9.248.60,30005,https,403 Forbidden,,US,San Jose,https://192.9.248.60:30005,Oracle Corporation
129.146.3.163,129.146.3.163,80,http,Not Found,,US,Phoenix,http://129.146.3.163,Oracle Corporation
64.181.232.51:9527,64.181.232.51,9527,http,,,US,Belmont,http://64.181.232.51:9527,Oracle Corporation
129.158.54.181,129.158.54.181,80,http,403 Forbidden,,US,Ashburn,http://129.158.54.181,Oracle Corporation
https://141.148.3.47:80,141.148.3.47,80,https,403 Forbidden,,US,Ashburn,https://141.148.3.47:80,Oracle Corporation
https://129.146.24.105:5000,129.146.24.105,5000,https,403 Forbidden,,US,Phoenix,https://129.146.24.105:5000,Oracle Corporation
https://129.146.196.8,129.146.196.8,443,https,403 Forbidden,,US,Phoenix,https://129.146.196.8,Oracle Corporation
146.235.229.194:7777,146.235.229.194,7777,http,,,US,San Jose,http://146.235.229.194:7777,Oracle Corporation
152.70.150.4,152.70.150.4,80,http,,,US,Phoenix,http://152.70.150.4,Oracle Corporation
https://158.179.192.168:7443,158.179.192.168,7443,https,403 Forbidden,,US,Redwood,https://158.179.192.168:7443,Oracle Corporation
140.245.66.220:7443,140.245.66.220,7443,http,,,US,Belmont,http://140.245.66.220:7443,Oracle Corporation
https://129.80.146.124:10443,129.80.146.124,10443,https,403 Forbidden,,US,Ashburn,https://129.80.146.124:10443,Oracle Corporation
152.67.235.3:88,152.67.235.3,88,http,,,US,San Jose,http://152.67.235.3:88,Oracle Corporation
https://170.9.31.5,170.9.31.5,443,https,403 Forbidden,,US,Belmont,https://170.9.31.5,Oracle Corporation
https://147.224.58.153,147.224.58.153,443,https,403 Forbidden,,US,Belmont,https://147.224.58.153,Oracle Corporation
https://140.245.44.79,140.245.44.79,443,https,403 Forbidden,,US,Belmont,https://140.245.44.79,Oracle Corporation
161.33.16.188:443,161.33.16.188,443,http,,,US,Mobile,http://161.33.16.188:443,Oracle Corporation
https://163.192.44.187,163.192.44.187,443,https,403 Forbidden,,US,Belmont,https://163.192.44.187,Oracle Corporation
40.233.103.212:443,40.233.103.212,443,http,,,US,Belmont,http://40.233.103.212:443,Oracle Corporation
https://140.245.125.229,140.245.125.229,443,https,403 Forbidden,,US,Belmont,https://140.245.125.229,Oracle Corporation
167.234.221.72:443,167.234.221.72,443,http,,,US,Belmont,http://167.234.221.72:443,Oracle Corporation
https://150.136.92.107,150.136.92.107,443,https,403 Forbidden,,US,Ashburn,https://150.136.92.107,Oracle Corporation
129.146.56.190:443,129.146.56.190,443,http,,,US,Phoenix,http://129.146.56.190:443,Oracle Corporation
